PRD0903872;3515
PRD0901225;361
PRD0903888;2535
PRD0902557;3597
PRD0902558;499
PRD0901224;2373
PRD0903889;2626
PRD0902555;540
PRD0901227;3133
PRD0903886;3210
PRD0901226;325
PRD0902556;1993
PRD0901229;604
PRD0901228;117
PRD0902559;1202
PRD0903881;3277
PRD0903884;2512
PRD0901221;2919
PRD0901220;1269
PRD0902554;2584
PRD0903882;1629
PRD0902551;2348
PRD0901223;3695
PRD0901222;1116
PRD0903883;2524
PRD0903855;3457
PRD0902524;3482
PRD0902525;1005
PRD0903853;1967
PRD0902522;2751
PRD0903854;2206
PRD0903859;1149
PRD0902528;1797
PRD0902526;2381
PRD0903851;2451
PRD0902520;3328
PRD0903852;1859
PRD0902521;3465
PRD0903850;1163
PRD0903866;1156
PRD0902535;3157
PRD0902536;557
PRD0903867;810
PRD0901202;1321
PRD0903864;1839
PRD0901205;2184
PRD0902533;3424
PRD0903865;2060
PRD0901204;2876
PRD0902539;1003
PRD0901207;2872
PRD0901206;2852
PRD0903868;362
PRD0902537;1958
PRD0901209;3723
PRD0903869;415
PRD0903862;2280
PRD0902532;1669
PRD0903863;3317
PRD0901201;532
PRD0903860;944
PRD0901200;1151
PRD0903861;2093
PRD0902530;3041
PRD0902509;1818
PRD0902502;2225
PRD0903833;3055
PRD0903834;530
PRD0902503;1233
PRD0902500;1362
PRD0903831;3484
PRD0903832;1953
PRD0902501;2090
PRD0903837;809
PRD0902506;3439
PRD0902507;187
PRD0903835;114
PRD0902505;835
PRD0903836;1966
PRD0902519;1477
PRD0903844;2798
PRD0902513;3062
PRD0903845;461
PRD0902514;2930
PRD0902511;2629
PRD0903842;3544
PRD0902517;1597
PRD0902518;3279
PRD0903846;205
PRD0902515;1284
PRD0902516;2709
PRD0903841;2243
PRD0903819;15
PRD0903817;2169
PRD0900785;3658
PRD0903812;626
PRD0900784;2292
PRD0900787;891
PRD0900786;255
PRD0903810;1939
PRD0903815;2094
PRD0903816;549
PRD0900788;2681
PRD0903813;1422
PRD0903814;1121
PRD0900781;2977
PRD0900780;311
PRD0903828;395
PRD0903829;2777
PRD0903822;951
PRD0900796;1033
PRD0900795;1192
PRD0903823;2663
PRD0903820;3693
PRD0903821;2470
PRD0900797;2915
PRD0903826;3441
PRD0903827;585
PRD0903824;3608
PRD0903825;1055
PRD0900790;3871
PRD0900791;2419
PRD0900794;1217
PRD0900762;3189
PRD0900765;2941
PRD0900764;2137
PRD0900767;3255
PRD0900766;2382
PRD0900769;1439
PRD0900761;104
PRD0900760;1378
PRD0903809;1791
PRD0903806;501
PRD0903807;2707
PRD0900774;1115
PRD0903800;2349
PRD0903801;3238
PRD0900776;1166
PRD0900775;1466
PRD0903804;1776
PRD0903805;871
PRD0900777;2151
PRD0903802;2987
PRD0900779;1379
PRD0900771;363
PRD0900749;531
PRD0900748;1399
PRD0900741;523
PRD0900740;3753
PRD0900743;2993
PRD0900745;97
PRD0900744;3082
PRD0900747;3077
PRD0900759;634
PRD0900752;1376
PRD0900751;1758
PRD0900754;1294
PRD0900753;1071
PRD0900755;451
PRD0900757;1109
PRD0900727;2608
PRD0900729;2011
PRD0900728;1877
PRD0900721;1132
PRD0900720;3333
PRD0900723;3491
PRD0900722;1457
PRD0900725;1
PRD0900724;2103
PRD0900738;1538
PRD0900737;2730
PRD0900732;3229
PRD0900731;2949
PRD0900734;201
PRD0900733;1225
PRD0900736;301
PRD0900735;3249
PRD0900705;2405
PRD0900707;3671
PRD0900709;1771
PRD0900701;2276
PRD0900700;24
PRD0900702;3398
PRD0900715;856
PRD0900718;1110
PRD0900717;2992
PRD0900719;3712
PRD0900712;1195
PRD0900713;103
PRD0904291;3244
PRD0904294;302
